airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
AA,PDX,978,-41.0,997.0,8.36,1.43,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PHL,11479,-66.0,1416.0,12.34,1.64,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PHX,13888,-65.0,1414.0,8.64,0.58,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PIT,1587,-48.0,926.0,10.76,1.01,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PNS,453,-35.0,1320.0,28.57,2.21,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PSP,458,-46.0,1140.0,8.53,0.66,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PVD,547,-36.0,1419.0,14.49,0.55,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PWM,391,-38.0,774.0,9.93,2.3,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,RAP,36,-20.0,1072.0,47.15,5.56,[ 6  7  8  9 10]
AA,RDM,29,-29.0,434.0,59.69,0.0,[5 6 7 8 9]
AA,RDU,2903,-60.0,1232.0,12.81,1.83,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,RIC,930,-45.0,1224.0,10.27,1.4,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,RNO,603,-54.0,1493.0,18.17,1.16,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ROC,226,-31.0,1112.0,33.65,1.33,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,RSW,1400,-39.0,1044.0,13.91,2.64,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SAN,2328,-52.0,1269.0,9.28,1.29,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SAT,1977,-38.0,958.0,12.73,1.77,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SAV,476,-38.0,1070.0,26.9,1.89,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SBA,250,-36.0,880.0,17.26,2.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SBP,181,-37.0,877.0,25.34,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SDF,628,-36.0,1473.0,22.23,0.48,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SEA,1385,-51.0,1270.0,9.78,1.01,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SFO,2615,-67.0,1329.0,12.71,0.76,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SJC,379,-39.0,994.0,5.79,1.32,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SJU,988,-47.0,1247.0,17.0,0.51,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SLC,954,-49.0,1097.0,12.05,1.36,[ 1  2  3  4  5  6  7  8  9 10 11 12]
